stage,case_id,variant,family,collision,goal_reached,mission_outcome,goal_time_s,north_progress_m,goal_distance_reduction_m,path_length_m,pass_through_rate,mean_steering_modification_rad,budget_unknown_fraction,no_witness_fraction
R06,overtaking_002,constrained_short,overtaking,False,,,,1.2023843554063571,,30.251165859086104,0.956,0.012250884582281905,0.0,0.024
R06,overtaking_002,hypothetical,overtaking,False,,,,1.8388048167007902,,30.30068944378037,0.948,0.016347381820370824,0.0,0.044
R06,overtaking_003,constrained,overtaking,False,,,,0.24996075320751743,,31.735630658540572,0.96,0.01388925746083931,0.0,0.028
R06,overtaking_003,constrained_short,overtaking,False,,,,0.24996075320751743,,31.735630658540572,0.96,0.01388925746083931,0.0,0.028
R06,overtaking_003,hypothetical,overtaking,True,,,,6.210979320017291,,6.212366358202858,0.17948717948717952,0.14803581334240531,0.0,0.7948717948717948
R06,overtaking_004,constrained,overtaking,False,,,,0.3476637871722943,,31.872552424700327,0.96,0.018190477248708512,0.0,0.036
R06,overtaking_004,constrained_short,overtaking,False,,,,0.3476637871722943,,31.872552424700327,0.96,0.018190477248708512,0.0,0.036
R06,overtaking_004,hypothetical,overtaking,False,,,,0.4024263668273953,,31.88361636617576,0.96,0.016926303923467168,0.0,0.036
R06,overtaking_005,constrained,overtaking,False,,,,0.3576974122808796,,31.68660349053321,0.956,0.013234608099710936,0.0,0.028
R06,overtaking_005,constrained_short,overtaking,False,,,,0.3576974122808796,,31.68660349053321,0.956,0.013234608099710936,0.0,0.028
R06,overtaking_005,hypothetical,overtaking,False,,,,0.779818767909255,,31.81278859203039,0.948,0.016321181165366825,0.0,0.04
R06,overtaking_006,constrained,overtaking,True,,,,4.079425030969067,,4.0814652230178226,0.07692307692307687,0.08577599468371608,0.0,1.0
R06,overtaking_006,constrained_short,overtaking,True,,,,4.079425030969067,,4.0814652230178226,0.07692307692307687,0.08577599468371608,0.0,1.0
R06,overtaking_006,hypothetical,overtaking,True,,,,4.079568487370615,,4.081259665663963,0.11538461538461542,0.13155403904555812,0.0,1.0
R06,overtaking_007,constrained,overtaking,False,,,,1.5142715239087625,,28.387923055029816,0.964,0.014033179328065545,0.0,0.032
R06,overtaking_007,constrained_short,overtaking,False,,,,1.5142715239087625,,28.387923055029816,0.964,0.014033179328065545,0.0,0.032
