stage,variant,case,family,collision,goal_reached,mission_outcome,observed_duration_s,minimum_true_hull_clearance_m,north_progress_m,budget_unknown_fraction,mean_integration_steps
R08_open,u2_exhaustive_b2000000,crossing_011,crossing,False,,,20.000000000000004,2.1637925231977797,-1.0301677245244978,0.0,894.755
R08_open,u2_exhaustive_b2048,crossing_011,crossing,False,,,20.000000000000004,0.16893744468093053,18.118859927270563,0.175,821.82
R08_open,u2_exhaustive_b512,crossing_011,crossing,True,,,7.3,-0.014405077059403526,7.294343456035028,0.6712328767123288,427.32876712328766
R08_open,u2_first_b2000000,crossing_011,crossing,False,,,20.000000000000004,2.1637925231977797,-1.0301677245244978,0.0,468.13
R08_open,u2_first_b2048,crossing_011,crossing,False,,,20.000000000000004,0.16893744468093053,18.118859927270563,0.175,478.075
R08_open,u2_first_b512,crossing_011,crossing,True,,,7.3,-0.014405077059403526,7.294343456035028,0.6575342465753424,370.4657534246575
R08_open,u4_first_b2000000,crossing_011,crossing,False,,,20.000000000000004,2.1637925231977797,-1.0301677245244978,0.0,305.48
R08_open,u4_first_b2048,crossing_011,crossing,False,,,20.000000000000004,1.144230347940355,1.6057639655624891,0.115,398.59
R08_open,u4_first_b512,crossing_011,crossing,True,,,7.3,-0.019056123150735127,7.2963487489633625,0.6301369863013698,359.36986301369865
R08_open,u2_exhaustive_b2000000,crossing_012,crossing,False,,,20.000000000000004,1.500063099601709,2.372138967300682,0.0,841.39
R08_open,u2_exhaustive_b2048,crossing_012,crossing,True,,,10.9,-0.02819709010949556,10.034687059693827,0.3486238532110092,1053.6422018348624
R08_open,u2_exhaustive_b512,crossing_012,crossing,True,,,9.8,-0.03590324882457596,9.610560030115723,0.6122448979591837,430.55102040816325
R08_open,u2_first_b2000000,crossing_012,crossing,False,,,20.000000000000004,1.500063099601709,2.372138967300682,0.0,441.895
R08_open,u2_first_b2048,crossing_012,crossing,True,,,10.9,-0.02819709010949556,10.034687059693827,0.3486238532110092,907.1926605504588
R08_open,u2_first_b512,crossing_012,crossing,True,,,10.5,-0.02780735010263624,9.900669304243241,0.44761904761904764,273.87619047619046
R08_open,u4_first_b2000000,crossing_012,crossing,False,,,20.000000000000004,1.5099746133256455,2.309594436961577,0.0,271.86
R08_open,u4_first_b2048,crossing_012,crossing,True,,,11.3,-0.030409630847092917,10.055754126080624,0.25663716814159293,781.2566371681415
R08_open,u4_first_b512,crossing_012,crossing,True,,,10.5,-0.042065283879694326,9.936090215359595,0.41904761904761906,263.1714285714286
R08_open,u2_exhaustive_b2000000,crossing_013,crossing,False,,,20.000000000000004,1.610393926147435,0.7620814645660259,0.0,831.6
R08_open,u2_exhaustive_b2048,crossing_013,crossing,True,,,7.4,-0.008916253961405607,7.819599160488816,0.40540540540540543,1151.1756756756756
R08_open,u2_exhaustive_b512,crossing_013,crossing,True,,,7.0,-0.04214470296041184,7.602663800468314,0.5714285714285714,422.2
R08_open,u2_first_b2000000,crossing_013,crossing,False,,,20.000000000000004,1.610393926147435,0.7620814645660259,0.0,420.93
R08_open,u2_first_b2048,crossing_013,crossing,True,,,7.4,-0.008916253961405607,7.819599160488816,0.40540540540540543,1076.3783783783783
R08_open,u2_first_b512,crossing_013,crossing,True,,,7.0,-0.04214470296041184,7.602663800468314,0.5571428571428572,344.4
R08_open,u4_first_b2000000,crossing_013,crossing,False,,,20.000000000000004,1.8681846568300853,0.6295050940387625,0.0,308.035
R08_open,u4_first_b2048,crossing_013,crossing,True,,,8.8,-0.03204807076226701,8.228930368215684,0.3068181818181818,953.1022727272727
R08_open,u4_first_b512,crossing_013,crossing,True,,,7.0,-0.05714047594054106,7.606192289694174,0.5285714285714286,327.74285714285713
R08_open,u2_exhaustive_b2000000,crossing_014,crossing,False,,,20.000000000000004,1.9296984966123067,1.8850640790885942,0.0,1050.96
R08_open,u2_exhaustive_b2048,crossing_014,crossing,False,,,20.000000000000004,0.38155825255027276,16.610711481713054,0.175,777.655
R08_open,u2_exhaustive_b512,crossing_014,crossing,False,,,20.000000000000004,0.2030667267612013,15.835854748207455,0.485,412.22
R08_open,u2_first_b2000000,crossing_014,crossing,False,,,20.000000000000004,1.9296984966123067,1.8850640790885942,0.0,646.895
R08_open,u2_first_b2048,crossing_014,crossing,False,,,20.000000000000004,0.38155825255027276,16.610711481713054,0.175,487.67
R08_open,u2_first_b512,crossing_014,crossing,False,,,20.000000000000004,0.35250835850937046,17.931631878141296,0.215,169.245
R08_open,u4_first_b2000000,crossing_014,crossing,False,,,20.000000000000004,1.923741379834161,1.8863665501566151,0.0,409.92
R08_open,u4_first_b2048,crossing_014,crossing,False,,,20.000000000000004,0.1637352326248488,15.062660834962012,0.125,440.79
